Sign Name,Confidence,Bounding Box
Speed Limit 60,0.31,"[[106.76438903808594, 198.3003387451172, 122.9306411743164, 222.04351806640625]]"
Speed Limit 30,0.29,"[[125.73067474365234, 222.04977416992188, 128.99722290039062, 227.04966735839844]]"
Green Light,0.28,"[[100.2658920288086, 114.84780883789062, 110.3581314086914, 122.16725158691406]]"
Speed Limit 30,0.41,"[[98.91715240478516, 217.710205078125, 102.91967010498047, 225.00723266601562]]"
Speed Limit 30,0.40,"[[94.51142120361328, 217.10491943359375, 98.58283233642578, 224.4069366455078]]"
Speed Limit 70,0.49,"[[163.06417846679688, 217.15533447265625, 170.25857543945312, 227.720703125]]"
Red Light,0.38,"[[171.91915893554688, 193.99729919433594, 176.96031188964844, 196.9962615966797]]"
Speed Limit 70,0.41,"[[154.94107055664062, 214.66888427734375, 164.36785888671875, 227.56787109375]]"
Red Light,0.56,"[[171.55718994140625, 192.94053649902344, 176.98934936523438, 196.11746215820312]]"
Speed Limit 70,0.44,"[[149.72036743164062, 212.75157165527344, 160.43511962890625, 227.73216247558594]]"
Red Light,0.41,"[[170.3694610595703, 192.058349609375, 175.54376220703125, 195.68551635742188]]"
Speed Limit 50,0.29,"[[137.2702178955078, 208.80154418945312, 149.62258911132812, 226.23049926757812]]"
Speed Limit 10,0.31,"[[68.56764221191406, 182.776123046875, 86.66349792480469, 216.21121215820312]]"
Speed Limit 120,0.55,"[[157.32447814941406, 215.38671875, 165.75074768066406, 227.48611450195312]]"
Speed Limit 70,0.39,"[[147.3890380859375, 211.6448974609375, 157.79844665527344, 226.6334686279297]]"
Speed Limit 80,0.26,"[[147.46295166015625, 211.6556854248047, 157.691650390625, 226.59251403808594]]"
Green Light,0.30,"[[142.0461883544922, 160.20333862304688, 149.53057861328125, 165.2851104736328]]"
Red Light,0.31,"[[137.70127868652344, 157.803466796875, 146.60606384277344, 162.6421661376953]]"
Speed Limit 80,0.53,"[[140.91452026367188, 209.94647216796875, 152.56980895996094, 226.12942504882812]]"
Speed Limit 80,0.48,"[[133.23193359375, 207.0000762939453, 146.15127563476562, 225.45010375976562]]"
Speed Limit 80,0.31,"[[123.93318939208984, 203.94798278808594, 138.26083374023438, 224.11624145507812]]"
Speed Limit 80,0.48,"[[112.1844253540039, 199.890869140625, 127.99407958984375, 223.13681030273438]]"
Speed Limit 80,0.42,"[[97.83609008789062, 194.5251922607422, 114.9764633178711, 220.83352661132812]]"
Speed Limit 80,0.70,"[[79.44719696044922, 187.25082397460938, 97.37853240966797, 218.935546875]]"
Speed Limit 80,0.60,"[[56.53713607788086, 177.3811492919922, 75.1122055053711, 213.7955780029297]]"
Speed Limit 50,0.26,"[[56.254520416259766, 177.41127014160156, 74.8292236328125, 214.63877868652344]]"
Speed Limit 50,0.60,"[[246.6430206298828, 223.46249389648438, 250.0530548095703, 229.3220977783203]]"
Speed Limit 50,0.29,"[[248.64337158203125, 223.05355834960938, 252.3385009765625, 228.98370361328125]]"
Speed Limit 50,0.28,"[[248.65065002441406, 223.0592498779297, 252.3388671875, 228.97496032714844]]"
Speed Limit 50,0.63,"[[251.767822265625, 222.4673309326172, 255.28224182128906, 228.99185180664062]]"
Speed Limit 50,0.43,"[[253.8170166015625, 221.84597778320312, 257.6140441894531, 228.40005493164062]]"
Speed Limit 50,0.76,"[[256.00140380859375, 221.28453063964844, 259.7303466796875, 228.17034912109375]]"
Speed Limit 50,0.68,"[[238.80648803710938, 224.96482849121094, 242.2568359375, 230.15696716308594]]"
Speed Limit 50,0.43,"[[263.1102294921875, 220.1077880859375, 268.1821594238281, 228.36117553710938]]"
Speed Limit 50,0.63,"[[266.34814453125, 219.4241180419922, 271.02435302734375, 228.04843139648438]]"
Speed Limit 50,0.46,"[[239.87820434570312, 224.96176147460938, 243.16921997070312, 229.6171417236328]]"
Speed Limit 90,0.50,"[[136.64083862304688, 210.72357177734375, 147.5986785888672, 226.8541259765625]]"
